,Player,Current3FGP,PredictedChange,95PLowerBound,95PUpperBound,MeanPredicted3FGP,Actual3FGP,Actual-MeanPrediction
131,Mike Scott,0.31,0.2884,0.022,1.174,0.598,0.344,-0.254
25,Chris Douglas-Roberts,0.386,0.18805,0.198,0.947,0.572,0.143,-0.429
141,Pablo Prigioni,0.464,0.056301,0.408,0.633,0.52,0.343,-0.177
144,Patrick Patterson,0.364,0.15086,0.212,0.817,0.514,0.371,-0.143
118,Marcus Morris,0.381,0.1059,0.276,0.699,0.488,0.358,-0.13
104,Khris Middleton,0.414,0.061089,0.353,0.598,0.476,0.407,-0.069
107,Kyle Korver,0.472,0.001205,0.471,0.476,0.474,0.492,0.018
130,Mike Miller,0.459,0.014825,0.444,0.503,0.474,0.327,-0.147
96,Kelly Olynyk,0.351,0.11944,0.232,0.709,0.47,0.349,-0.121
98,Kendall Marshall,0.399,0.069265,0.33,0.607,0.468,0.391,-0.077
91,Jose Calderon,0.449,0.013039,0.436,0.488,0.462,0.415,-0.047
9,Anthony Tolliver,0.413,0.044035,0.369,0.545,0.457,0.366,-0.091
157,Richard Jefferson,0.409,0.04202,0.367,0.535,0.451,0.426,-0.025
11,Avery Bradley,0.395,0.054829,0.341,0.559,0.45,0.352,-0.098
88,Jordan Farmar,0.438,0.0040509,0.434,0.45,0.442,0.361,-0.081
122,Martell Webster,0.392,0.050074,0.342,0.542,0.442,0.233,-0.209
102,Kevin Love,0.376,0.062572,0.313,0.564,0.438,0.367,-0.071
10,Arron Afflalo,0.427,0.0068713,0.42,0.448,0.434,0.354,-0.08
64,Hollis Thompson,0.401,0.029341,0.372,0.489,0.43,0.401,-0.029
129,Mike Dunleavy,0.38,0.050543,0.33,0.531,0.43,0.407,-0.023
181,Trevor Ariza,0.407,0.022645,0.385,0.475,0.43,0.35,-0.08
57,Gerald Green,0.4,0.025923,0.374,0.478,0.426,0.354,-0.072
150,P.J. Tucker,0.387,0.03596,0.351,0.495,0.423,0.345,-0.078
185,Vince Carter,0.394,0.028684,0.365,0.48,0.422,0.297,-0.125
8,Anthony Morrow,0.451,-0.031337,0.357,0.482,0.42,0.434,0.014
117,Marco Belinelli,0.43,-0.010275,0.399,0.44,0.42,0.374,-0.046
132,Mirza Teletovic,0.39,0.030399,0.36,0.481,0.42,0.321,-0.099
111,Lance Stephenson,0.352,0.064951,0.287,0.547,0.417,0.171,-0.246
42,Dirk Nowitzki,0.398,0.017187,0.381,0.45,0.416,0.38,-0.036
126,Maurice Harkless,0.383,0.033006,0.35,0.482,0.416,0.179,-0.237
172,Terrence Ross,0.395,0.021089,0.374,0.458,0.416,0.372,-0.044
19,Caron Butler,0.394,0.019933,0.374,0.454,0.414,0.379,-0.035
84,Joe Johnson,0.401,0.012916,0.388,0.44,0.414,0.359,-0.055
85,John Salmons,0.387,0.027598,0.359,0.47,0.414,0.308,-0.106
13,Boris Diaw,0.402,0.010872,0.391,0.435,0.413,0.32,-0.093
60,Goran Dragic,0.408,0.0016677,0.406,0.413,0.41,0.347,-0.063
18,Carmelo Anthony,0.402,0.0062776,0.396,0.421,0.408,0.341,-0.067
32,Damian Lillard,0.394,0.011482,0.383,0.428,0.406,0.343,-0.063
156,Reggie Jackson,0.339,0.067708,0.272,0.541,0.406,0.299,-0.107
83,Jodie Meeks,0.401,0.0029528,0.398,0.41,0.404,0.349,-0.055
103,Kevin Martin,0.387,0.015744,0.371,0.434,0.402,0.393,-0.009
86,John Wall,0.351,0.049748,0.302,0.5,0.401,0.3,-0.101
168,Stephen Curry,0.424,-0.023063,0.355,0.447,0.401,0.443,0.042
34,Danny Green,0.415,-0.015554,0.368,0.431,0.399,0.418,0.019
154,Ray Allen,0.375,0.023853,0.351,0.447,0.399,DNA,NA
161,Ryan Anderson,0.409,-0.0139,0.367,0.423,0.395,0.34,-0.055
45,Draymond Green,0.333,0.060991,0.272,0.516,0.394,0.337,-0.057
143,Patrick Mills,0.425,-0.031101,0.332,0.456,0.394,0.341,-0.053
92,Josh McRoberts,0.361,0.032165,0.329,0.457,0.393,0.421,0.028
75,Jason Terry,0.379,0.012933,0.366,0.418,0.392,0.39,-0.002
147,Paul Pierce,0.373,0.019499,0.354,0.431,0.392,0.389,-0.003
20,Cartier Martin,0.391,-0.001974,0.385,0.393,0.389,0.182,-0.207
37,DeMarre Carroll,0.362,0.026983,0.335,0.443,0.389,0.395,0.006
164,Shawne Williams,0.326,0.063408,0.263,0.515,0.389,0.36,-0.029
59,Giannis Antetokounmpo,0.347,0.042325,0.304,0.473,0.388,0.159,-0.229
28,C.J. Miles,0.393,-0.0061352,0.375,0.399,0.387,0.345,-0.042
2,Aaron Brooks,0.387,-0.00026645,0.386,0.387,0.386,0.387,0.001
94,J.R. Smith,0.394,-0.0075734,0.371,0.402,0.386,0.383,-0.003
41,Dion Waiters,0.368,0.016089,0.352,0.416,0.384,0.297,-0.087
62,Greivis Vasquez,0.377,0.0058621,0.371,0.395,0.383,0.379,-0.004
108,Kyle Lowry,0.38,0.0031142,0.377,0.389,0.383,0.338,-0.045
124,Matt Barnes,0.343,0.040127,0.303,0.463,0.383,0.362,-0.021
125,Matthew Dellavedova,0.368,0.015725,0.352,0.415,0.383,0.407,0.024
146,Paul Millsap,0.358,0.024605,0.333,0.432,0.382,0.356,-0.026
106,Klay Thompson,0.417,-0.036354,0.308,0.454,0.381,0.439,0.058
43,D.J. Augustin,0.401,-0.020315,0.34,0.421,0.38,0.337,-0.043
165,Shawn Marion,0.358,0.021389,0.337,0.422,0.38,0.261,-0.119
174,Thaddeus Young,0.308,0.071664,0.236,0.523,0.38,0.33,-0.05
38,Derek Fisher,0.384,-0.0050298,0.369,0.389,0.379,DNA,NA
49,Eric Gordon,0.391,-0.013068,0.352,0.404,0.378,0.448,0.07
82,J.J. Redick,0.395,-0.017814,0.342,0.413,0.378,0.437,0.059
120,Mario Chalmers,0.385,-0.0081492,0.361,0.393,0.377,0.294,-0.083
22,Channing Frye,0.37,0.005505,0.364,0.387,0.376,0.393,0.017
79,Jeremy Lin,0.358,0.018695,0.339,0.414,0.376,0.369,-0.007
170,Steve Novak,0.426,-0.049814,0.276,0.476,0.376,0.396,0.02
48,Eric Bledsoe,0.357,0.016197,0.341,0.405,0.373,0.324,-0.049
123,Marvin Williams,0.359,0.013908,0.345,0.401,0.373,0.358,-0.015
187,Wesley Matthews,0.393,-0.021387,0.329,0.415,0.372,0.389,0.017
14,Bradley Beal,0.402,-0.031141,0.309,0.433,0.371,0.409,0.038
136,Nick Young,0.386,-0.016722,0.336,0.403,0.37,0.369,-0.001
175,Tim Hardaway,0.363,0.0073676,0.356,0.385,0.37,0.342,-0.028
58,Gerald Henderson,0.348,0.02076,0.327,0.41,0.368,0.331,-0.037
152,Randy Foye,0.38,-0.011961,0.344,0.392,0.368,0.357,-0.011
169,Steve Blake,0.376,-0.0083692,0.351,0.384,0.368,0.352,-0.016
68,Jamal Crawford,0.361,0.0059718,0.355,0.379,0.367,0.327,-0.04
112,LeBron James,0.379,-0.01247,0.342,0.391,0.367,0.354,-0.013
134,Mo Williams,0.369,-0.0018816,0.363,0.371,0.367,0.342,-0.025
153,Rashard Lewis,0.343,0.024006,0.319,0.415,0.367,DNA,NA
163,Shane Battier,0.348,0.017356,0.331,0.4,0.366,DNA,NA
54,Francisco Garcia,0.358,0.0052683,0.353,0.374,0.364,0.222,-0.142
135,Nate Robinson,0.377,-0.013459,0.337,0.39,0.364,0.277,-0.087
27,Chris Paul,0.368,-0.0059051,0.35,0.374,0.362,0.398,0.036
109,Kyle Singler,0.382,-0.022353,0.315,0.404,0.36,0.398,0.038
35,Darren Collison,0.376,-0.018134,0.322,0.394,0.358,0.373,0.015
56,George Hill,0.365,-0.0072807,0.343,0.372,0.358,0.358,0
101,Kevin Durant,0.391,-0.035536,0.285,0.426,0.356,0.403,0.047
116,Manu Ginobili,0.349,0.0069627,0.342,0.37,0.356,0.345,-0.011
29,C.J. Watson,0.366,-0.012569,0.328,0.379,0.354,0.4,0.046
138,Norris Cole,0.345,0.0075616,0.337,0.368,0.353,0.313,-0.04
128,Mike Conley,0.361,-0.0095786,0.332,0.371,0.352,0.386,0.034
39,Deron Williams,0.366,-0.015334,0.32,0.381,0.351,0.367,0.016
80,Jerryd Bayless,0.358,-0.0074261,0.336,0.365,0.351,0.308,-0.043
162,Ryan Kelly,0.338,0.011634,0.326,0.373,0.35,0.336,-0.014
113,Lou Williams,0.342,0.0060662,0.336,0.36,0.348,0.34,-0.008
74,Jarrett Jack,0.341,0.0053642,0.336,0.357,0.347,0.267,-0.08
100,Kent Bazemore,0.336,0.01055,0.325,0.368,0.347,0.364,0.017
72,Jared Dudley,0.36,-0.014748,0.316,0.375,0.346,0.385,0.039
12,Ben McLemore,0.32,0.023571,0.296,0.391,0.344,0.358,0.014
139,O.J. Mayo,0.37,-0.025682,0.293,0.395,0.344,0.357,0.013
31,Courtney Lee,0.371,-0.029376,0.283,0.4,0.342,0.402,0.06
99,Kentavious Caldwell-Pope,0.319,0.023571,0.295,0.39,0.342,0.345,0.003
55,Gary Neal,0.378,-0.038524,0.262,0.417,0.34,0.305,-0.035
78,Jeremy Lamb,0.356,-0.015666,0.309,0.372,0.34,0.342,0.002
7,Andre Iguodala,0.354,-0.016016,0.306,0.37,0.338,0.349,0.011
167,Spencer Hawes,0.416,-0.078375,0.181,0.494,0.338,0.313,-0.025
178,Tony Snell,0.32,0.01834,0.302,0.375,0.338,0.371,0.033
182,Trey Burke,0.33,0.0073676,0.323,0.352,0.338,0.318,-0.02
21,Chandler Parsons,0.37,-0.033958,0.268,0.404,0.336,0.38,0.044
114,Luke Ridnour,0.343,-0.0071121,0.322,0.35,0.336,0.317,-0.019
145,Paul George,0.364,-0.02712,0.282,0.391,0.336,0.409,0.073
186,Wesley Johnson,0.369,-0.033588,0.268,0.403,0.336,0.351,0.015
69,Jameer Nelson,0.348,-0.014274,0.305,0.362,0.334,0.345,0.011
105,Kirk Hinrich,0.351,-0.016765,0.301,0.368,0.334,0.345,0.011
184,Victor Oladipo,0.327,0.0073676,0.32,0.349,0.334,0.339,0.005
142,Patrick Beverley,0.361,-0.028085,0.277,0.389,0.333,0.356,0.023
97,Kemba Walker,0.333,-0.00038799,0.332,0.333,0.332,0.304,-0.028
189,Wilson Chandler,0.348,-0.016183,0.299,0.364,0.332,0.342,0.01
76,Jeff Green,0.341,-0.011582,0.306,0.353,0.33,0.332,0.002
180,Travis Outlaw,0.35,-0.020785,0.288,0.371,0.33,DNA,NA
183,Ty Lawson,0.356,-0.026711,0.276,0.383,0.33,0.341,0.011
33,Danny Granger,0.336,-0.007451,0.314,0.343,0.328,0.357,0.029
71,James Harden,0.366,-0.037321,0.254,0.403,0.328,0.375,0.047
148,Pero Antic,0.327,-0.0033655,0.317,0.33,0.324,0.301,-0.023
171,Terrence Jones,0.307,0.0174,0.29,0.359,0.324,0.351,0.027
110,Kyrie Irving,0.358,-0.036637,0.248,0.395,0.322,0.415,0.093
17,Brian Roberts,0.36,-0.039434,0.242,0.399,0.32,0.321,0.001
66,Isaiah Thomas,0.349,-0.02881,0.262,0.378,0.32,0.373,0.053
158,Ricky Rubio,0.331,-0.011146,0.297,0.342,0.32,0.255,-0.065
119,Marcus Thornton,0.345,-0.026118,0.267,0.371,0.319,0.378,0.059
15,Brandon Jennings,0.337,-0.019847,0.278,0.357,0.318,0.36,0.042
77,Jeff Teague,0.329,-0.013602,0.288,0.343,0.316,0.343,0.027
95,Kawhi Leonard,0.379,-0.063546,0.189,0.443,0.316,0.349,0.033
133,Monta Ellis,0.33,-0.014352,0.287,0.344,0.316,0.285,-0.031
166,Shelvin Mack,0.337,-0.020353,0.276,0.357,0.316,0.315,-0.001
4,Alec Burks,0.35,-0.035617,0.243,0.386,0.314,0.382,0.068
44,Dorell Wright,0.342,-0.029048,0.255,0.371,0.313,0.38,0.067
87,Jordan Crawford,0.316,-0.0031031,0.307,0.319,0.313,DNA,NA
188,Willie Green,0.339,-0.025886,0.261,0.365,0.313,0.347,0.034
46,Earl Clark,0.336,-0.025305,0.26,0.361,0.31,0.286,-0.024
73,Jared Sullinger,0.269,0.040733,0.228,0.391,0.31,0.283,-0.027
160,Russell Westbrook,0.318,-0.0088487,0.291,0.327,0.309,0.299,-0.01
53,Evan Turner,0.321,-0.014963,0.276,0.336,0.306,0.277,-0.029
137,Nicolas Batum,0.361,-0.054532,0.197,0.416,0.306,0.324,0.018
3,Alan Anderson,0.339,-0.035253,0.233,0.374,0.304,0.348,0.044
24,Chris Bosh,0.339,-0.035366,0.233,0.374,0.304,0.375,0.071
36,DeMar DeRozan,0.305,-0.00092532,0.302,0.306,0.304,0.284,-0.02
51,E'Twaun Moore,0.354,-0.050119,0.204,0.404,0.304,0.342,0.038
23,Chase Budinger,0.35,-0.047244,0.208,0.398,0.303,0.364,0.061
52,Evan Fournier,0.376,-0.075526,0.149,0.451,0.3,0.378,0.078
40,Devin Harris,0.307,-0.0084568,0.282,0.315,0.298,0.357,0.059
93,Josh Smith,0.264,0.033419,0.231,0.365,0.298,0.316,0.018
155,Raymond Felton,0.318,-0.021052,0.255,0.339,0.297,0.294,-0.003
90,Jose Barea,0.316,-0.022082,0.25,0.338,0.294,0.323,0.029
