,Player,Current3FGP,PredictedChange,95PLowerBound,95PUpperBound,MeanPredicted3FGP,Actual3FGP,Actual-MeanPrediction
12,Andrew Nicholson,0.315,NaN,NaN,NA,NaN,0.317,NaN
184,Perry Jones,0.361,0.30255,0.059,1.27,0.664,0.233,-0.431
187,Quincy Miller,0.319,0.29174,0.027,1.194,0.61,0.167,-0.443
163,Mike Scott,0.31,0.2893,0.023,1.177,0.6,0.344,-0.256
36,Chris Douglas-Roberts,0.386,0.18564,0.201,0.943,0.572,0.143,-0.429
56,Diante Garrett,0.375,0.15838,0.216,0.852,0.534,DNA,NA
93,James Jones,0.519,0.004559,0.514,0.533,0.524,0.36,-0.164
15,Anthony Randolph,0.295,0.22622,0.068,0.974,0.521,DNA,NA
176,Pablo Prigioni,0.464,0.054615,0.409,0.627,0.518,0.343,-0.175
179,Patrick Patterson,0.364,0.15165,0.213,0.817,0.515,0.371,-0.144
105,Jimmer Fredette,0.476,0.018227,0.458,0.531,0.495,0.188,-0.307
147,Marcus Morris,0.381,0.10675,0.274,0.701,0.488,0.358,-0.13
48,Darrell Arthur,0.375,0.10958,0.265,0.705,0.485,0.236,-0.249
132,Khris Middleton,0.414,0.057584,0.356,0.587,0.472,0.407,-0.065
126,Kendall Marshall,0.399,0.066496,0.332,0.598,0.465,0.391,-0.074
118,Jose Calderon,0.449,0.011445,0.438,0.483,0.46,0.415,-0.045
211,Spencer Hawes,0.416,0.044157,0.372,0.549,0.46,0.313,-0.147
16,Anthony Tolliver,0.413,0.044722,0.368,0.547,0.458,0.366,-0.092
135,Kyle Korver,0.472,-0.015122,0.426,0.487,0.456,0.492,0.036
162,Mike Miller,0.459,-0.0057777,0.442,0.465,0.454,0.327,-0.127
19,Avery Bradley,0.395,0.052245,0.343,0.552,0.448,0.352,-0.096
115,Jordan Farmar,0.438,0.0018398,0.436,0.444,0.44,0.361,-0.079
130,Kevin Love,0.376,0.063395,0.313,0.566,0.44,0.367,-0.073
151,Martell Webster,0.392,0.044601,0.347,0.526,0.436,0.233,-0.203
154,Matt Bonner,0.429,0.0063977,0.423,0.448,0.436,0.365,-0.071
113,Jonas Jerebko,0.419,0.010825,0.408,0.451,0.43,0.386,-0.044
198,Richard Jefferson,0.409,0.021392,0.388,0.473,0.43,0.426,-0.004
26,Byron Mullens,0.371,0.057309,0.314,0.543,0.428,DNA,NA
83,Hollis Thompson,0.401,0.026531,0.374,0.481,0.428,0.401,-0.027
156,Maurice Harkless,0.383,0.045167,0.337,0.519,0.428,0.179,-0.249
17,Arron Afflalo,0.427,-0.00063991,0.425,0.428,0.426,0.354,-0.072
164,Mirza Teletovic,0.39,0.03121,0.359,0.484,0.422,0.321,-0.101
186,P.J. Tucker,0.387,0.033401,0.354,0.487,0.42,0.345,-0.075
75,Gerald Green,0.4,0.017115,0.383,0.451,0.417,0.354,-0.063
58,Dirk Nowitzki,0.398,0.017622,0.38,0.451,0.416,0.38,-0.036
21,Boris Diaw,0.402,0.01138,0.391,0.436,0.414,0.32,-0.094
217,Terrence Ross,0.395,0.017584,0.378,0.448,0.413,0.372,-0.041
227,Trevor Ariza,0.407,0.0060917,0.401,0.425,0.413,0.35,-0.063
14,Anthony Morrow,0.451,-0.038484,0.335,0.49,0.412,0.434,0.022
139,Lance Stephenson,0.352,0.060328,0.292,0.533,0.412,0.171,-0.241
146,Marco Belinelli,0.43,-0.017336,0.378,0.447,0.412,0.374,-0.038
233,Wayne Ellington,0.424,-0.011177,0.39,0.435,0.412,0.37,-0.042
79,Goran Dragic,0.408,-0.00040786,0.407,0.408,0.408,0.347,-0.061
232,Vince Carter,0.394,0.014158,0.38,0.436,0.408,0.297,-0.111
192,Rasual Butler,0.419,-0.014215,0.376,0.433,0.404,0.387,-0.017
197,Reggie Jackson,0.339,0.065071,0.275,0.534,0.404,0.299,-0.105
161,Mike Dunleavy,0.38,0.023171,0.357,0.45,0.403,0.407,0.004
44,Damian Lillard,0.394,0.0087901,0.385,0.42,0.402,0.343,-0.059
109,Joe Johnson,0.401,0.0013255,0.4,0.405,0.402,0.359,-0.043
111,John Salmons,0.387,0.014863,0.372,0.432,0.402,0.308,-0.094
35,Chris Copeland,0.418,-0.017153,0.367,0.435,0.401,0.311,-0.09
63,Draymond Green,0.333,0.068245,0.264,0.538,0.401,0.337,-0.064
112,John Wall,0.351,0.047186,0.304,0.492,0.398,0.3,-0.098
212,Stephen Curry,0.424,-0.025454,0.347,0.45,0.398,0.443,0.045
108,Jodie Meeks,0.401,-0.0039943,0.389,0.405,0.397,0.349,-0.048
204,Ryan Anderson,0.409,-0.013063,0.37,0.422,0.396,0.34,-0.056
39,C.J. McCollum,0.375,0.020546,0.354,0.436,0.395,0.396,0.001
