,Player,Current3FGP,PredictedChange,95PLowerBound,95PUpperBound,MeanPredicted3FGP,Actual3FGP,Actual-MeanPrediction
25,Chris Douglas-Roberts,0.386,0.1969,0.19,0.978,0.584,0.143,-0.441
131,Mike Scott,0.31,0.24856,0.061,1.06,0.56,0.344,-0.216
141,Pablo Prigioni,0.464,0.043918,0.42,0.595,0.507,0.343,-0.164
144,Patrick Patterson,0.364,0.12854,0.236,0.75,0.493,0.371,-0.122
104,Khris Middleton,0.414,0.066592,0.348,0.614,0.481,0.407,-0.074
107,Kyle Korver,0.472,0.0002381,0.472,0.473,0.472,0.492,0.02
130,Mike Miller,0.459,0.012743,0.446,0.497,0.472,0.327,-0.145
98,Kendall Marshall,0.399,0.059918,0.34,0.579,0.46,0.391,-0.069
118,Marcus Morris,0.381,0.076136,0.305,0.61,0.458,0.358,-0.1
122,Martell Webster,0.392,0.066287,0.325,0.591,0.458,0.233,-0.225
91,Jose Calderon,0.449,0.0080768,0.441,0.473,0.457,0.415,-0.042
157,Richard Jefferson,0.409,0.041194,0.368,0.533,0.45,0.426,-0.024
126,Maurice Harkless,0.383,0.061656,0.321,0.569,0.445,0.179,-0.266
11,Avery Bradley,0.395,0.047096,0.348,0.536,0.442,0.352,-0.09
181,Trevor Ariza,0.407,0.031043,0.376,0.5,0.438,0.35,-0.088
57,Gerald Green,0.4,0.036609,0.363,0.51,0.436,0.354,-0.082
88,Jordan Farmar,0.438,-0.0016885,0.433,0.44,0.436,0.361,-0.075
9,Anthony Tolliver,0.413,0.021686,0.391,0.478,0.434,0.366,-0.068
10,Arron Afflalo,0.427,0.0075608,0.419,0.45,0.434,0.354,-0.08
150,P.J. Tucker,0.387,0.047879,0.339,0.53,0.434,0.345,-0.089
64,Hollis Thompson,0.401,0.026847,0.374,0.482,0.428,0.401,-0.027
111,Lance Stephenson,0.352,0.072097,0.28,0.568,0.424,0.171,-0.253
117,Marco Belinelli,0.43,-0.0069722,0.409,0.437,0.423,0.374,-0.049
172,Terrence Ross,0.395,0.026592,0.368,0.475,0.422,0.372,-0.05
42,Dirk Nowitzki,0.398,0.022372,0.376,0.465,0.42,0.38,-0.04
8,Anthony Morrow,0.451,-0.032757,0.353,0.484,0.418,0.434,0.016
18,Carmelo Anthony,0.402,0.01685,0.385,0.452,0.418,0.341,-0.077
102,Kevin Love,0.376,0.041949,0.334,0.502,0.418,0.367,-0.051
84,Joe Johnson,0.401,0.015751,0.385,0.448,0.416,0.359,-0.057
185,Vince Carter,0.394,0.018481,0.376,0.449,0.412,0.297,-0.115
13,Boris Diaw,0.402,0.0076486,0.394,0.425,0.41,0.32,-0.09
45,Draymond Green,0.333,0.076656,0.256,0.563,0.41,0.337,-0.073
85,John Salmons,0.387,0.021099,0.366,0.45,0.408,0.308,-0.1
19,Caron Butler,0.394,0.012065,0.382,0.43,0.406,0.379,-0.027
83,Jodie Meeks,0.401,0.0039913,0.397,0.413,0.405,0.349,-0.056
103,Kevin Martin,0.387,0.017472,0.37,0.439,0.404,0.393,-0.011
164,Shawne Williams,0.326,0.078394,0.248,0.561,0.404,0.36,-0.044
60,Goran Dragic,0.408,-0.0046067,0.394,0.413,0.403,0.347,-0.056
34,Danny Green,0.415,-0.014083,0.373,0.429,0.401,0.418,0.017
154,Ray Allen,0.375,0.02333,0.351,0.445,0.398,DNA,NA
