,Player,Current3FGP,PredictedChange,95PLowerBound,95PUpperBound,MeanPredicted3FGP,Actual3FGP,Actual-MeanPrediction
12,Andrew Nicholson,0.315,NaN,NaN,NA,NaN,0.317,NaN
184,Perry Jones,0.361,0.31324,0.047,1.301,0.674,0.233,-0.441
36,Chris Douglas-Roberts,0.386,0.19361,0.193,0.966,0.58,0.143,-0.437
187,Quincy Miller,0.319,0.25675,0.061,1.089,0.575,0.167,-0.408
163,Mike Scott,0.31,0.24775,0.06,1.054,0.557,0.344,-0.213
93,James Jones,0.519,0.0097981,0.509,0.548,0.528,0.36,-0.168
56,Diante Garrett,0.375,0.14509,0.231,0.812,0.522,DNA,NA
15,Anthony Randolph,0.295,0.21067,0.082,0.925,0.504,DNA,NA
176,Pablo Prigioni,0.464,0.038086,0.426,0.578,0.502,0.343,-0.159
105,Jimmer Fredette,0.476,0.018943,0.457,0.533,0.495,0.188,-0.307
179,Patrick Patterson,0.364,0.12751,0.236,0.747,0.492,0.371,-0.121
132,Khris Middleton,0.414,0.058884,0.355,0.591,0.473,0.407,-0.066
162,Mike Miller,0.459,0.0076935,0.451,0.482,0.466,0.327,-0.139
135,Kyle Korver,0.472,-0.0071993,0.45,0.479,0.464,0.492,0.028
48,Darrell Arthur,0.375,0.08722,0.288,0.637,0.462,0.236,-0.226
118,Jose Calderon,0.449,0.0090589,0.44,0.476,0.458,0.415,-0.043
147,Marcus Morris,0.381,0.075204,0.305,0.607,0.456,0.358,-0.098
126,Kendall Marshall,0.399,0.054086,0.345,0.562,0.454,0.391,-0.063
151,Martell Webster,0.392,0.06062,0.331,0.574,0.452,0.233,-0.219
211,Spencer Hawes,0.416,0.032242,0.383,0.513,0.448,0.313,-0.135
156,Maurice Harkless,0.383,0.061238,0.322,0.567,0.444,0.179,-0.265
198,Richard Jefferson,0.409,0.03199,0.377,0.505,0.441,0.426,-0.015
19,Avery Bradley,0.395,0.043154,0.352,0.524,0.438,0.352,-0.086
115,Jordan Farmar,0.438,-0.0029318,0.429,0.441,0.435,0.361,-0.074
16,Anthony Tolliver,0.413,0.020599,0.392,0.475,0.434,0.366,-0.068
17,Arron Afflalo,0.427,0.0045263,0.422,0.441,0.432,0.354,-0.078
186,P.J. Tucker,0.387,0.044053,0.343,0.519,0.431,0.345,-0.086
75,Gerald Green,0.4,0.030436,0.37,0.491,0.43,0.354,-0.076
227,Trevor Ariza,0.407,0.022077,0.385,0.473,0.429,0.35,-0.079
83,Hollis Thompson,0.401,0.026569,0.374,0.481,0.428,0.401,-0.027
26,Byron Mullens,0.371,0.052447,0.319,0.529,0.424,DNA,NA
109,Joe Johnson,0.401,0.019277,0.382,0.459,0.42,0.359,-0.061
146,Marco Belinelli,0.43,-0.010003,0.4,0.44,0.42,0.374,-0.046
